,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
32,0.059,1.91448198,1439.17164341,-4.55148272,0.08540023,5.3463482,14.89043309,13.51472703,13.29110113,13.45505584,12.1192214,11.86320168,13.26385926,11.72964278,10.85442776,10.68812713,12.8454487,11.70651109
33,0.059,2.42446202,1338.84573266,-4.69337366,0.08380778,5.36269759,15.08721288,13.76192064,13.78266968,13.90638279,12.47196437,11.9744965,13.6754716,11.90638291,11.04300245,10.86318728,13.24802185,11.88958275
34,0.059,3.07029063,1244.32258556,-4.83504166,0.08242093,5.37719131,15.31928543,14.03189788,14.27854346,14.35028701,12.79409373,12.09741586,14.06722196,12.08918051,11.2469752,11.03536076,13.61229638,12.07494568
35,0.059,3.88815518,1164.41886876,-4.96325564,0.08120526,5.39009796,15.56107508,14.3051989,14.69228829,14.75405254,13.04562398,12.22077417,14.38444889,12.25693396,11.44085899,11.17981843,13.89386652,12.24249916
36,0.059,4.92388263,1091.40964881,-5.08747547,0.08011534,5.40183491,15.82423356,14.59184852,15.0664443,15.13939904,13.27097648,12.34679534,14.67340954,12.41865702,11.6302965,11.31035067,14.14451827,12.40360744
37,0.059,6.23550734,1026.24069217,-5.2053296,0.07911569,5.41274099,16.10771159,14.89005085,15.42752904,15.5438792,13.48795636,12.48414364,14.95673067,12.58469136,11.82559516,11.43508248,14.38629593,12.56877472
38,0.059,7.89652287,968.41758463,-5.31626519,0.07819361,5.42292373,16.3981308,15.18301199,15.7575312,15.92810089,13.68129374,12.61849671,15.21114128,12.74208721,12.00827155,11.5465644,14.60057081,12.72499346
39,0.059,10.0,916.50036785,-5.42190639,0.07730504,5.4328506,16.68639971,15.46736463,16.06986864,16.29538871,13.8629978,12.74982645,15.44657333,12.89061279,12.17983357,11.65071385,14.80021009,12.8735803
0,0.03,0.001,2789.48819863,-1.98483753,0.43646423,3.63564118,8.30562211,7.64848121,7.15289623,6.76990995,6.27323836,6.26423053,6.52175095,6.24577225,6.00922793,5.86467528,6.39042126,6.23969729
1,0.03,0.00126638017,2784.41325018,-2.04723288,0.40770016,3.6948561,8.46203661,7.80295542,7.30686223,6.92322752,6.42500327,6.41943475,6.67558315,6.40001489,6.16202766,6.01877026,6.54296252,6.39366926
2,0.03,0.00160371874,2780.07497335,-2.09386075,0.38759485,3.73878093,8.5789003,7.91807268,7.42164812,7.03751249,6.53800003,6.53533824,6.79034849,6.51510296,6.27588625,6.13368262,6.65663031,6.50852651
3,0.03,0.00203091762,2777.50878451,-2.11961104,0.37696743,3.76292818,8.6434102,7.98151586,7.4849206,7.10051274,6.60025231,6.59932187,6.85365553,6.57860001,6.33865475,6.19706712,6.71928521,6.57188553
4,0.03,0.00257191381,2776.26350712,-2.13192786,0.37199166,3.77446969,8.67426672,8.01184388,7.5151653,7.13063595,6.63001712,6.62994592,6.88394034,6.60898239,6.36868227,6.22739881,6.74924903,6.60219936
5,0.03,0.00325702066,2775.24553863,-2.14174262,0.3680842,3.78364166,8.69883118,8.0359733,7.53923111,7.15460367,6.65369288,6.65432132,6.90804038,6.6331609,6.39257054,6.2515333,6.77308746,6.62632198
6,0.03,0.00412462638,2773.83238656,-2.15510762,0.36283435,3.79611923,8.73229013,8.06882272,7.57199562,7.18723604,6.68592199,6.68752519,6.94086017,6.66609032,6.4250964,6.28440068,6.80554342,6.65917349
7,0.03,0.00522334507,2771.45998294,-2.17691066,0.35444783,3.81643132,8.78686408,8.12235972,7.62539879,7.24042689,6.73844057,6.74168836,6.99437415,6.71979011,6.47811682,6.33799363,6.85844522,6.71274168
